event_full_address
"2401 Axe Factory Rd Bordentown, NJ"
"939 Lexington Avenue (between E. 68th & E. 69th Streets) New York, NY"
"1600 Hylan Boulevard Staten Island, NY"
"433 E 6th St New York, NY"
"1601 Broadway New York, NY"
"25 W 31st street New York, NY"
"1601 Broadway 11th floor  New York , NY"
"265 W 37th St New York, NY"
"11 Newel St  Brooklyn , NY"
"1368 Fulton St Brooklyn, NY"
"500 8th ave 3rd fl New York, NY"
"10-93 Jackson Ave Queens, NY"
"189 Brunswick St, 3rd Floor Jersey City, NJ"
"1678 3rd Ave New York, NY"
"Sullivan St & Washington Square S 10012, NY"
"Central Park New York, NY"
"513 Johnson Avenue #13 Brooklyn, NY"
"158 E 115th St New York, NY"
"(Mickey will email or private message full sign-in information for this video conference.) Brooklyn, NY"
"Internet New York, NY"
"Grand Army Plaza New York, NY"
"TBD TBD, NY"
"558 Broadway Avenue New York , NY"
"Online New York, NY"
"Brooklyn New York, NY"
"1012 Grand St Hoboken, NJ"
"102 W 73rd St New York, NY"
"95 Delancey Street (On the corner of Delancey & Ludlow), New York, NY  New York, NY"
"60 E 41st St New York, NY"
"350 W 50th St New York, NY"
"W 67th St New York, NY"
"44 W 17th St New York, NY"
"422 Avenue P Brooklyn , NY"
"695 5th Ave Brooklyn, NY"
"252 9th St Jersey City, NJ"
"11 W 53rd St New York, NY"
"51 W 14th St #3r New York, NY"
"1085 5th Avenue  New York , NY"
"270 Greenwich Street Cafe Level New York, NY"
"273 13th Street Brooklyn, NY"
"513 Johnson Avenue #13 Brooklyn, NY"
"158 E 115th St New York, NY"
"252 9th St Jersey City, NJ"
"687 Larch Ave Teaneck, NJ"
"10 Columbus Cir New York, NY"
"675 3rd Ave New York, NY"
"Online New York, NY"
"10 South William St New York, NY"
"105th and Broadway  New York, NY"
"626 10th Ave New York, NY"
"620 Manhattan Ave Brooklyn, NY"
"151 Front St Secaucus, NJ"
"116 E 7th Street New York, NY"
"2149 Frederick Douglass Blvd New York , NY"
"425 Avenue of the Americas (Sixth Avenue and 10th Street Manhattan, NY"
"Virtual Online Meeting New York, NY"
"939 Lexington Avenue (between E. 68th & E. 69th Streets) New York, NY"
"394 Walker St Fairview, NJ"
"1678 3rd Ave New York, NY"
"10-93 Jackson Ave Queens, NY"
"765 Washington St New York, NY"
"177 Prince St, New York, NY 10012 New York, NE"
"29 McWilliams Pl. Jersey City, NJ"
"1085 5th Avenue  New York , NY"
"270 Greenwich Street Cafe Level New York, NY"
"158 E 115th St New York, NY"
"513 Johnson Avenue #13 Brooklyn, NY"
"5577 Main St Williamsville, NY"
"33 Pannell St. #1 Buffalo , NY"
"Main Street Snyder, NY"
"3200 Elmwood Ave Buffalo, NY"
"238 Lexington Ave Buffalo, NY"
"Heritage Road Tonawanda, NY"
"1094 Hertel Ave Buffalo, NY"
"1310 Sweet Home Road Amherst, NY"
"6320 Main Street Williamsville, NY"
"22 Lafayette Williamsville, NY"
"1002 Elmwood Ave Buffalo, NY"
"Tryon Park (Road) Rochester, NY"
"3240 Chili Ave Rochester, NY"
"120 Mushroom Blvd Rochester, NY"
"1400 Winton Rd N Rochester, NY"
"24 State St. Pittsford, NY"
"2000 Highland  Rochester, NY"
"S Main St Fairport, NY"
"195 New Karner Rd Albany, NY"
"605 Loudon Rd Latham, NY"
"1 Crossgates Mall Road Albany, NY"
"580 Albany Shaker Road Colonie, NY"
"3 Lear Jet Ln Latham, NY"
"71 4th St Troy, NY"
"161 Washington Ave Ext Albany, NY"
"21 King Ave Albany, NY"
"1510 Central Ave Suite 107 Albany, NY"
"601 Troy Schenectady Rd Latham, NY"
"997 New Loudon Rd. (Route 9) Latham, NY"
"2212 Burdett Avenue (directly across from Samaritan Hospital) Troy, NY"
"1 Eton Pl Staten Island, NY"
"1 Audrey Zapp Dr Jersey City, NE"
"Your Guide will meet you when you get out from the train at Poughkeepsie New York, NY"
"901 Park Ave Hoboken, NJ"
"901 Park Ave Hoboken, NJ"
"  569 Hudson St New York, NY"
"Frank Sinatra Dr Hoboken, NJ"
"1423 Clinton Street  Hoboken , NJ"
"14 Rector Street Newark, NJ"
"416 8th ave, Corner of 31st New York, NY"
"1 Oak St Brooklyn, NY"
"695 5th Ave Brooklyn, NY"
"252 9th St Jersey City, NJ"
"Online New York, NY"
"10 South William St New York, NY"
"51 W 14th St #3r New York, NY"
"75A 5th Ave Brooklyn, NY"
"620 Manhattan Ave Brooklyn, NY"
"116 E 7th Street New York, NY"
"75A 5th Ave Brooklyn, NY"
"Web-Based Remote Event New York, NY"
"275 Greenwich Street New York, NY"
"89 7th Ave New York, NY"
"119 MacDougal Street New York, NY"
"NY NY, NY"
"38 West 32nd Street New York, NY"
"38 W 32nd St, New York, NY 10001 New York, NY"
"243 78th St Brooklyn, NY"
"143 Christopher Columbus Dr Jersey City, NJ"
"147 Prince Street, 4th Floor Brooklyn, NY"
"769 Washington Avenue Brooklyn, NY"
"227 Utica Avenue Brooklyn, NY"
"111 East 33rd St. New York, NY"
"New York New York, NY"
"Cyberspace New York, NY"
"320 West 37th Street Brooklyn, NY"
"32nd Street and 7th Avenue New York, NY"
"10 West 33rd Street New York, NY"
"230 Vesey St New York, NY"
"105 Montrose Ave  Brooklyn, NY"
"Virtual Online Meeting New York, NY"
"1600 Hylan Boulevard Staten Island, NY"
"425 Avenue of the Americas (Sixth Avenue and 10th Street Manhattan, NY"
"433 E 6th St New York, NY"
"25 W 31st street New York, NY"
"1368 Fulton St Brooklyn, NY"
"189 Brunswick St, 3rd Floor Jersey City, NJ"
"109 E 9th St New York, NY"
"265 W 37th St New York, NY"
"520 8th Ave 16th Fl 10018 New York, NY"
"500 8th ave 3rd fl New York, NY"
"Online! previously in Hillyer Room, BIrd Library 222 Waverly Ave Syracuse, NY"
"881 Van Rensselaer St Syracuse, NY"
"415 S. Clinton St Syracuse, NY"
"125 East Water Street Syracuse, NY"
"235 Harrison Street Syracuse, NY"
"TBD Syracuse, NY"
"44 Main St New Paltz, NY"
"3 Paradies Lane New Paltz, NY"
"485 Main St Poughkeepsie, NY"
"1491 U.S. 9 Wappingers Falls, NY"
"330 Main St Poughkeepsie, NY"
"2681 W. Main St Wappingers Falls, NY"
"10100 Brookside Rd Pleasant Valley, NY"
"3399 North Rd Poughkeepsie, NY"
"Google Hangouts New York, NY"
"Online Online, NY"
"101 Pondfield Road West, 2nd Floor Bronxville, NY"
"687 Larch Ave Teaneck, NJ"
"805 Ft. Washington Ave Margaret Corbin Circle New York, NY"
"8 Main St Hastings-On-Hudson, NY"
"252 Bryant Avenue White Plains, NY"
"41 NJ-4 Hackensack, NJ"
"Old Croton Aqueduct Trail Yonkers, NY"
"95 Delancey Street (On the corner of Delancey & Ludlow) New York, NY"
"198 Central Avenue White Plains, NY"
"300 Bergen Town Center Paramus, NJ"
"TBA NYC, NY"
"Fisher Lane North White Plains, NY"
"350 Main St White Plains, NY"
"Room Westchester County, NY"
"92 West Pleasant Avenue Maywood, NJ"
"30 Main Street Binghamton, NY"
"Dobbs Ferry Train Station Dobbs Ferry, NY"
"Google Hangouts New York, NY"
"2 South Sixth Avenue Mount Vernon, NY"
"Pier 25 Hudson River Greenway New York, NY"
"https://goo.gl/maps/sp6o3i2mPV8Mpq8K8 Englewood Boat Basin - parking lot near the ""Snack Shack"" Englewood Cliffs, NJ"
"New York.  New York, NY"
"150-11 14th Avenue WHITESTONE, NY"
"252 Bryant Avenue White Plains, NY"
"Old Croton Aqueduct Trail Yonkers, NY"
"198 Central Avenue White Plains, NY"
"95 Delancey Street (On the corner of Delancey & Ludlow) New York, NY"
"Fisher Lane North White Plains, NY"
"350 Main St White Plains, NY"
"19 Smith Street church is next to parking lot off westchester avenue Port Chester, NY"
"777 Westchester Ave Ground Floor White Plains, NY"
"Outlet Rd Ballston, NY"
"50 Pine Rd Saratoga Springs, NY"
"2911 State Highway 9 Malta, NY"
"Google Hangouts New York, NY"
"Online Online, NY"
"101 Pondfield Road West, 2nd Floor Bronxville, NY"
"Morningside Dr New York, NY"
"https://goo.gl/maps/sp6o3i2mPV8Mpq8K8 Englewood Boat Basin - parking lot near the ""Snack Shack"" Englewood Cliffs, NJ"
"2 South Sixth Avenue Mount Vernon, NY"
"Pier 25 Hudson River Greenway New York, NY"
"Northwest Corner New York, NY"
"132-68 34th Avenue, New York, NY 11354 New York, NY"
"New York.  New York, NY"
"687 Larch Ave Teaneck, NJ"
"Morningside Dr New York, NY"
"5521 Mosholu Avenue  Riverdale, Bronx, NY"
"805 Ft. Washington Ave Margaret Corbin Circle New York, NY"
"8 Main St Hastings-On-Hudson, NY"
"158 E. 115th Street New York, NY"
"150-11 14th Avenue WHITESTONE, NY"
"2149 Frederick Douglass Blvd New York , NY"
"252 Bryant Avenue White Plains, NY"
"803 181st St @ Fort Washington Avenue New York, NY"
"2444 Boston Post Road Larchmont, NY"
"80 Fifth Avenue Suite 1104 New York, NY"
"687 Larch Ave Teaneck, NJ"
"82 Prospect St White Plains, NY"
"32 Old Tappan Rd Tappan, NY"
"127 Middle Neck Rd Sands Point, NY"
"158 E 115th St New York, NY"
"Old Croton Aqueduct Trail Yonkers, NY"
"95 Delancey Street (On the corner of Delancey & Ludlow) New York, NY"
"198 Central Avenue White Plains, NY"
"123 W 115th St New York, NY"
"TBA NYC, NY"
"93 W Campbell Rd Schenectady, NY"
"9 Burning Bush Blvd Ballston Lake, NY"
"3437 Carman Road Schenectady, NY"
"2072 Curry Rd Schenectady, NY"
"3 Lear Jet Ln Latham, NY"
"811 N Brandywine Ave Schenectady, NY"
"161 Washington Ave Ext Albany, NY"
"1668 U.S. 9 Clifton Park, NY"
"1510 Central Ave Suite 107 Albany, NY"
"2 Wall Street Colonie, NY"
"Lake Shore Dr Bolton Landing, NY"
"251 Glen Street Glens Falls, NY"
"147 W Gray St Elmira, NY"
" Johnson Avenue Islandia, NY"
"356A Sunrise Hwy West Babylon, NY"
"131 S Smith St Lindenhurst, NY"
"1795 Brentwood Rd  Brentwood, NY"
"10 Dunton Avenue Deer Park, NY"
"875 Conklin St Farmingdale, NY"
"143 Alexander Avenue Lake Grove, NY"
"380 Nicholls Rd Stony Brook, NY"
"944 W Jericho Turnpike Smithtown, NY"
"2196 Nesconset Hwy Stony Brook, NY"
"556 N Country Rd St James, NY"
"440 Montauk Hwy Great River, NY"
"135 East Main Street Bay Shore, NY"
"811 West Jericho Turnpike, suite 203-E Smithtown , NY"
"161 Rose Drive Lake Ronkonkoma, NY"
"161 Rose Drive Lake Ronkonkoma, NY"
"1800 E Jericho Turnpike Huntington, NY"
"1 Galleria Drive, Middletown, NY Middletown, NY"
"Dobbs Ferry Train Station Dobbs Ferry, NY"
"988 Bedford Rd Pleasantville, NY"
"101 Pondfield Road West, 2nd Floor Bronxville, NY"
"125 Phelps Way (route 117) Pleasantville, NY"
"2 South Sixth Avenue Mount Vernon, NY"
"8 Main St Hastings-On-Hudson, NY"
"252 Bryant Avenue White Plains, NY"
"Send message to Organizer asking for the address Greenwich, CT"
"82 Prospect St White Plains, NY"
"2444 Boston Post Road Larchmont, NY"
"32 Old Tappan Rd Tappan, NY"
"259 east Putnam avenue Greenwich, CT"
"39 Hudson Ave Nyack, NY"
"142 Main Street (corner of Franklin and Main - the entrance is off the rear parking lot) Nyack, NY"
"748 S Meadow St Ithaca, NY"
"80 Patch Rd Saugerties, NY"
"55 Franklin St Kingston, NY"
"65 St James St Kingston, NY"
"4800 Grant Ave Philadelphia, PA"
" Route 73 North Palmyra, NJ"
"9389 Krewstown Rd. Philadelphia, PA"
"429 John F Kennedy Way Willingboro, NJ"
"Cardinal Dr Morrisville, PA"
"400 N Oxford Valley Rd, Langhorne, PA 19047 Bucks County, PA"
"301 E. Maple Ave Langhorne, PA"
"413 Avenue E Horsham, PA"
"457 Easton rd Horsham, PA"
"126 N. State St. Newtown, PA"
"6901 Castor ave Philadelphia, PA"
"4010 New Falls Rd Bristol, PA"
"1585 NJ-73 Pennsauken Township, NJ"
"1902 County Line Rd Huntingdon Valley, Pa 19006, PA"
"990 2nd Street Pike Richboro, PA"
"2495 Street Rd Bensalem, PA"
"501 Easton Rd Glenside, PA"
"1262 Wood Lane  Ste 106/107 Langhorne, PA"
"Zoom Philadelphia, PA"
"Zoom Philadelphia, PA"
"https://zoom.us/j/3820324647 Philadelphia, PA"
"https://zoom.us/j/3820324647 Philadelphia, PA"
"2141 Mary St Pittsburgh, PA"
"Eliza Furnace Trail Pittsburgh, PA"
"1500 Washington Rd Pittsburgh, PA"
"3101 Brereton St Pittsburgh, PA"
"5401 Centre Avenue Pittsburgh, PA"
"7604 Charleston Ave Pittsburgh, PA"
"1435 Grandview Ave Pittsburgh, PA"
"331 Penn St Verona, PA"
"4909 Penn Ave.  Pittsburgh, PA"
"4100 Library Rd #1 Pittsburgh, PA"
"425 Cinema Drive Pittsburgh, PA"
"510 E 10th Ave Munhall, PA"
"510 E 10th Ave Munhall, PA"
"400 Cedar Avenue  Pittsburgh, PA"
"356 Lincoln Highway North Versailles, PA"
"824 Main Street Hellertown, PA"
"3679 Eberhart Rd Whitehall, PA"
"840 Walnut St Catasauqua, PA"
"1401 Lehnert Rd Whitehall, PA"
"1801 South 12th Street Allentown, PA"
"2835 Lehigh St Allentown, PA"
"735 Delaware Avenue Hellertown, PA"
"2300 Linglestown Rd Harrisburg, PA"
"3943 Tecport Drive Harrisburg, PA"
"1836 Green Street Harrisburg, PA"
"3301 East Trindle Road Camp Hill, PA"
"23 E Main St Leola, PA"
"123 Some St Lancaster, PA"
"850 Olde Hickory Road Lancaster, PA"
"9 W Grant St Lancaster, PA"
"123 Website Street Pennsylvania, PA"
"313 Wyoming Ave West Pittston, PA"
"1287 Penn Ave Wyomissing, PA"
"1714 State Hill Rd Wyomissing, PA"
"123 at home avenue York, PA"
"2252 Industrial Hwy York, PA"
"2000 Loucks Rd York, PA"
"1109 State St Erie, PA"
"1028 Shed Rd Douglassville, PA"
"203 High Street Phoenixville, PA"
"20 E. Bridge Street, Suite 103 Spring City, PA"
"124 N Chestnut  Boyertown , PA"
"227 E High St Pottstown, PA"
"411 W Ridge Pike Limerick, PA"
"20 E. Bridge Street, Suite 103 Spring City, PA"
"1211 Benjamin Franklin Hwy Douglassville, PA"
"675 Constitution Ave Stowe, PA"
"https://zoom.us/j/3820324647 Pottstown, PA"
"468 Nutt Rd Phoenixville, PA"
"State College, PA State College, PA"
"100 Museum Rd Stevens, PA"
"100 Museum Rd Stevens, PA"
"1349 Cumberland St Lebanon, PA"
"824 Main Street Hellertown, PA"
"3679 Eberhart Rd Whitehall, PA"
"1801 South 12th Street Allentown, PA"
"2835 Lehigh St Allentown, PA"
"735 Delaware Avenue Hellertown, PA"
"979 York St Hanover, PA"
"564 Central Ave johnstown , PA"
"116 Market Street Johnstown, PA"
"I-80 Hardwick, NJ"
"1232 Totts Gap Hill Rd Stroudsburg, PA"
"Kittatinnies Region Hardwick Township, NJ"
"401 Hollow Rd East Stroudsburg, PA"
"622 Main St Stroudsburg, PA"
"344 Stroud Mall Rd Stroudsburg, PA"
"Now Pennsylvania, PA"
"2401 Axe Factory Rd Bordentown, NJ"
"410 Ellisdale Road Chesterfield , NJ"
"Cardinal Dr Morrisville, PA"
"477 Jeremiah Ave Hamilton Township, NJ"
"56 South Main Street Yardley, PA"
"50 Riverview Plaza Trenton, NJ"
"4354 New Falls Road Levittown , PA"
"731 Highway 33, Suite 3 Hamilton, NJ"
"18 E. Union Street  Bordentown, NJ"
"2780 Bristol Pike Bensalem, PA"
"126 N. State St. Newtown, PA"
"80 Sculptors Way Hamilton Township, NJ"
"4010 New Falls Rd Bristol, PA"
"26 Delaware Rim Dr Morrisville, PA"
"980 Trenton Rd Fairless Hills, PA"
"82 East Afton Avenue Yardley, PA"
"1262 Wood Lane  Ste 106/107 Langhorne, PA"
"354 S Broad St, Trenton, NJ"
"82 E Afton Ave Yardley, PA"
"500 3rd Avenue Kingston, PA"
"313 Wyoming Ave West Pittston, PA"
